"성별","산업별","직업별",2025.1/2,2025.1/2,2025.2/2,2025.2/2
"성별","산업별","직업별",취업자 (천명),RSE,취업자 (천명),RSE
"남자","계","계",15995,-,16005,-
"남자","계","관리자",352,-,319,-
"남자","계","전문가 및 관련 종사자",3437,-,3466,-
"남자","계","사무 종사자",2446,-,2467,-
"남자","계","서비스 종사자",1116,-,1133,-
"남자","계","판매 종사자",1179,-,1182,-
"남자","계","농림어업 숙련 종사자",876,-,892,-
"남자","계","기능원 및 관련 기능 종사자",1986,-,1990,-
"남자","계","장치‧기계 조작 및 조립 종사자",2669,-,2631,-
"남자","계","단순 노무 종사자",1935,-,1925,-
"남자","A. 농업, 임업 및 어업(01~03)","계",863,-,888,-
"남자","A. 농업, 임업 및 어업(01~03)","관리자",0,*,1,*
"남자","A. 농업, 임업 및 어업(01~03)","전문가 및 관련 종사자",3,-,4,*
"남자","A. 농업, 임업 및 어업(01~03)","사무 종사자",6,-,5,-
"남자","A. 농업, 임업 및 어업(01~03)","서비스 종사자",0,*,-,-
"남자","A. 농업, 임업 및 어업(01~03)","판매 종사자",1,*,1,*
"남자","A. 농업, 임업 및 어업(01~03)","농림어업 숙련 종사자",832,-,851,-
"남자","A. 농업, 임업 및 어업(01~03)","기능원 및 관련 기능 종사자",0,*,0,*
"남자","A. 농업, 임업 및 어업(01~03)","장치‧기계 조작 및 조립 종사자",2,-,3,*
"남자","A. 농업, 임업 및 어업(01~03)","단순 노무 종사자",19,-,22,-
"남자","B. 광 업(05~08)","계",8,-,9,-
"남자","B. 광 업(05~08)","관리자",0,*,0,*
"남자","B. 광 업(05~08)","전문가 및 관련 종사자",0,*,0,*
"남자","B. 광 업(05~08)","사무 종사자",1,*,2,*
"남자","B. 광 업(05~08)","서비스 종사자",0,*,0,*
"남자","B. 광 업(05~08)","판매 종사자",-,-,0,*
"남자","B. 광 업(05~08)","기능원 및 관련 기능 종사자",3,-,3,-
"남자","B. 광 업(05~08)","장치‧기계 조작 및 조립 종사자",3,-,3,-
"남자","B. 광 업(05~08)","단순 노무 종사자",1,*,0,*
"남자","C. 제 조 업(10~34)","계",3168,-,3155,-
"남자","C. 제 조 업(10~34)","관리자",76,-,77,-
"남자","C. 제 조 업(10~34)","전문가 및 관련 종사자",494,-,516,-
"남자","C. 제 조 업(10~34)","사무 종사자",667,-,662,-
"남자","C. 제 조 업(10~34)","서비스 종사자",4,-,3,-
"남자","C. 제 조 업(10~34)","판매 종사자",80,-,71,-
"남자","C. 제 조 업(10~34)","농림어업 숙련 종사자",0,*,0,*
"남자","C. 제 조 업(10~34)","기능원 및 관련 기능 종사자",502,-,502,-
"남자","C. 제 조 업(10~34)","장치‧기계 조작 및 조립 종사자",1222,-,1196,-
"남자","C. 제 조 업(10~34)","단순 노무 종사자",124,-,127,-
"남자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","계",72,-,80,-
"남자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","관리자",2,*,3,*
"남자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","전문가 및 관련 종사자",20,-,23,-
"남자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","사무 종사자",15,-,19,-
"남자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","서비스 종사자",1,*,2,*
"남자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","판매 종사자",0,*,0,*
"남자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","기능원 및 관련 기능 종사자",12,-,14,-
"남자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","장치‧기계 조작 및 조립 종사자",19,-,17,-
"남자","D. 전기, 가스, 증기 및 공기 조절 공급업(35)","단순 노무 종사자",2,-,2,-
"남자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",131,-,131,-
"남자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","관리자",3,*,4,*
"남자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전문가 및 관련 종사자",10,-,12,-
"남자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","사무 종사자",19,-,20,-
"남자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","서비스 종사자",1,*,1,*
"남자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","판매 종사자",2,*,2,*
"남자","E. 수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","기능원 및 관련 기능 종사자",3,-,3,-
