"직업별",2024.1/2,2024.1/2,2024.1/2,2024.1/2,2024.1/2,2024.1/2,2024.1/2,2024.1/2,2024.1/2
"직업별",취업자 (천명),연령(15~29세),연령(30~39세),연령(40~49세),연령(50~59세),연령(60세 이상),교육정도(중졸이하),교육정도(고졸),교육정도(대졸이상)
"계",28693,3792,5444,6203,6689,6566,3510,10207,14977
"관리자",435,3,21,90,227,95,2,49,384
"공공 기관 및 기업 고위직",25,-,1,4,10,11,-,3,23
"행정?경영 지원 및 마케팅 관리직",96,1,3,20,49,23,0,4,92
"전문 서비스 관리직",154,0,7,25,93,28,0,11,142
"건설·전기 및 생산 관련 관리직",87,1,3,20,45,19,1,19,67
"판매 및 고객 서비스 관리직",73,2,7,21,30,14,0,13,60
"전문가 및 관련 종사자",6297,1128,1775,1749,1171,475,19,631,5648
"과학 전문가 및 관련직",137,32,61,28,12,4,0,2,135
"정보 통신 전문가 및 기술직",648,133,236,183,84,11,-,37,610
"공학 전문가 및 기술직",1109,151,310,328,206,114,4,87,1018
"보건·사회복지 및 종교 관련직",1640,324,413,430,342,131,5,195,1440
"교육 전문가 및 관련직",1202,191,290,392,252,77,1,64,1137
"법률 및 행정 전문직",68,1,16,20,23,9,0,3,66
"경영·금융전문가 및 관련직",635,50,148,177,161,99,4,92,538
"문화·예술·스포츠 전문가 및 관련직",860,246,301,192,91,30,5,150,705
"사무 종사자",5049,791,1415,1430,1070,343,38,1195,3816
"경영 및 회계 관련 사무직",4262,639,1197,1221,912,291,33,995,3233
"금융 사무직",295,44,92,92,59,8,1,49,245
"법률 및 감사 사무직",87,9,24,23,22,10,0,13,74
"상담·안내·통계 및 기타 사무직",406,99,102,94,77,34,4,137,265
"서비스 종사자",3516,714,534,580,866,823,456,1754,1307
"경찰·소방 및 보안 관련 서비스직",330,55,111,79,71,14,2,93,234
"돌봄·보건 및 개인 생활 서비스직",1156,113,119,164,320,440,213,570,374
"운송 및 여가 서비스직",272,61,45,54,60,53,17,122,134
"조리 및 음식 서비스직",1759,485,259,284,414,316,225,969,565
"판매 종사자",2509,366,430,566,669,477,155,1226,1128
"영업직",589,29,108,172,181,99,14,245,331
"매장 판매 및 상품 대여직",1581,289,230,308,428,326,118,841,621
"통신 및 방문·노점 판매 관련직",339,48,93,87,60,51,23,140,176
"농림·어업 숙련 종사자",1512,20,40,91,235,1127,807,483,222
"농·축산 숙련직",1453,18,36,83,219,1096,783,457,212
"임업 숙련직",10,0,0,1,3,4,2,5,3
"어업 숙련직",50,2,3,7,12,26,22,21,7
"기능원 및 관련 기능 종사자",2294,200,388,540,694,473,292,1212,791
"식품가공 관련 기능직",176,29,37,34,40,36,24,84,69
"섬유·의복 및 가죽 관련 기능직",150,5,10,15,56,64,62,68,19
"목재·가구·악기 및 간판 관련 기능직",69,4,11,16,22,15,8,40,21
"금속 성형 관련 기능직",204,19,37,54,58,36,28,128,49
"운송 및 기계 관련 기능직",433,51,94,115,117,56,26,208,198
"전기 및 전자 관련 기능직",320,32,65,87,86,51,15,164,141
"정보 통신 및 방송장비 관련 기능직",116,14,24,39,28,10,2,50,64
"건설 및 채굴 관련 기능직",649,35,82,140,229,164,110,373,166
"기타 기능 관련직",178,11,28,41,58,40,17,98,63
"장치·기계 조작 및 조립 종사자",3036,255,489,664,901,729,328,1730,978
"식품가공 관련 기계 조작직",75,10,15,16,22,13,8,40,27
"섬유 및 신발 관련 기계 조작직",73,2,8,11,27,25,16,43,14
"화학 관련 기계 조작직",210,31,55,48,53,22,15,110,85
"금속 및 비금속 관련 기계 조작직",205,20,46,53,57,29,15,117,73
"기계 제조 및 관련 기계 조작직",501,61,105,129,145,62,39,301,162
"전기 및 전자 관련 기계 조작직",488,79,123,122,110,53,15,231,241
"운전 및 운송 관련직",1305,35,106,240,436,488,200,790,315
"상하수도 및 재활용 처리 관련 기계 조작직",31,3,6,8,8,6,3,13,15
"목재·인쇄 및 기타 기계 조작직",148,13,24,37,44,30,17,86,45
"단순노무 종사자",4045,317,352,494,857,2026,1413,1928,704
"건설 및 광업 관련 단순 노무직",356,25,33,58,123,117,103,199,54
"운송 관련 단순 노무직",580,82,128,156,139,76,50,348,182
"제조 관련 단순 노무직",407,56,75,91,115,70,83,251,73
"청소 및 경비 관련 단순 노무직",1515,22,38,71,217,1167,790,552,173
"가사·음식 및 판매 관련 단순 노무직",708,106,56,79,185,283,189,382,137
"농림·어업 및 기타 서비스 단순 노무직",479,26,22,40,78,313,198,195,86
