"고용형태","직종별",2020,2021,2022,2023,2024,2025
"고용형태","직종별",월임금총액 (천원),월임금총액 (천원),월임금총액 (천원),월임금총액 (천원),월임금총액 (천원),월임금총액 (천원)
"전체근로자","전직종",3180,3271,3526,3640,3737,3834
"전체근로자","전문가 및 관련종사자(2)",3932,3967,4260,4517,4617,4761
"전체근로자","사무 종사자(3)",3787,3911,4157,4283,4407,4516
"전체근로자","서비스 종사자(4)",1574,1632,1729,1763,1818,1877
"전체근로자","판매 종사자(5)",2632,2659,2862,2890,2973,3108
"전체근로자","농림·어업 숙련 종사자(6)",2284,2177,2411,2432,2565,2546
"전체근로자","기능원 및 관련 기능 종사자(7)",2806,2903,3017,3250,3361,3488
"전체근로자","장치·기계 조작 및 조립 종사자(8)",3228,3370,3609,3788,3912,4019
"전체근로자","단순노무 종사자(9)",1828,1870,2019,2058,2105,2095
