"직업별",2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"계",26409,26725,26822,27123,26904,27273,28089,28416,28576,28769
"* 관리자·전문가(1,2)",5620,5736,5857,5963,5877,5979,6317,6640,6828,7062
"1 관리자",335,313,371,408,395,393,436,475,440,415
"2 전문가 및 관련 종사자",5286,5424,5487,5555,5481,5586,5880,6165,6388,6647
"3 사무 종사자",4563,4666,4766,4750,4690,4750,4859,4967,5052,5162
"* 서비스·판매 종사자(4,5)",6010,6037,6005,6146,5943,5839,5950,6086,6038,6100
"4 서비스 종사자",2888,2946,2969,3116,3046,3073,3269,3465,3526,3604
"5 판매 종사자",3121,3091,3037,3030,2897,2766,2681,2621,2512,2496
"6 농림어업 숙련 종사자",1186,1198,1266,1332,1383,1396,1463,1481,1450,1355
"* 기능·기계조작·조립·단순노무 종사자(7~9)",9031,9088,8928,8931,9012,9309,9501,9242,9208,9090
"7 기능원 및 관련 기능종사자",2396,2384,2347,2372,2336,2406,2403,2311,2261,2231
"8 장치,기계조작 및 조립종사자",3185,3158,3085,3015,2951,2965,3039,2988,2968,2942
"9 단순노무 종사자",3449,3546,3497,3545,3725,3938,4060,3942,3978,3917
