"시도별(17개)","규모별","직종별",2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2,2022.2/2,2022.2/2,2022.2/2,2023.1/2,2023.1/2,2023.1/2,2023.2/2,2023.2/2,2023.2/2,2024.1/2,2024.1/2,2024.1/2,2024.2/2,2024.2/2,2024.2/2,2025.1/2,2025.1/2,2025.1/2,2025.2/2,2025.2/2,2025.2/2
"시도별(17개)","규모별","직종별",구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%)
"전국","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",147134,11246,1.4,165064,17252,1.7,189893,25024,2.1,181215,24704,2.0,190038,23415,1.9,165832,18991,1.7,186313,17702,1.8,175665,19807,1.7,188633,20629,1.6,159311,16632,1.4
"전국","전규모(1인이상)","1 연구직 및 공학기술직",82448,12782,3.0,91837,15600,3.4,103718,18954,3.8,96617,20099,3.5,103378,18903,3.2,85213,18028,3.2,88541,13735,2.7,80776,13874,2.6,81892,12316,2.5,73258,11771,2.2
"전국","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",125303,2982,1.7,84338,5974,2.3,137396,7732,2.5,82352,6256,2.2,153194,6290,2.2,71874,4574,2.1,139740,4967,2.2,80795,3964,2.2,149970,4022,2.2,85328,3906,2.1
"전국","전규모(1인이상)","3 보건ㆍ의료직",67509,6200,2.3,56417,7974,3.2,82032,8015,2.9,63886,9555,3.3,83780,9011,2.8,60073,6975,2.5,80835,7421,2.4,63937,7967,2.6,83343,9176,2.4,63816,7114,2.4
"전국","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",20937,2536,3.4,23149,3224,4.2,27260,3992,4.5,26440,5631,4.0,32247,4981,3.7,23081,3383,3.8,30788,3003,3.4,26682,3546,3.5,29513,2875,3.2,25031,2739,2.9
"전국","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",208099,7167,1.9,203310,11455,3.3,261363,17386,4.2,259045,22955,3.8,313701,20065,3.3,298709,17578,3.2,357394,14008,3.1,304456,13362,3.2,349340,10438,2.7,276138,13121,2.8
"전국","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",156206,27521,3.3,172103,35011,4.1,189081,40489,4.2,195371,47762,4.5,201369,41888,4.1,182732,29003,3.8,217789,27491,3.8,211738,32257,3.9,211189,25914,3.4,189654,24120,3.3
"전국","전규모(1인이상)","7 건설ㆍ채굴직",66690,1579,1.2,168105,2257,1.8,115356,3387,2.4,145209,3143,2.1,120097,3069,2.5,155853,2366,2.7,122889,1463,2.4,164725,1926,2.4,124387,1602,2.4,155868,1241,2.0
"전국","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",167773,29627,3.4,188644,37980,4.4,201061,52991,5.2,207532,51807,4.8,190149,38031,4.0,198447,39682,3.9,191712,29925,3.4,179996,26263,3.4,174874,21144,2.8,169532,20195,2.9
