"시도별","산업별",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"계","계",26178,26409,26725,26822,27123,26904,27273,28089,28416,28576,28769
"계","A 농업, 임업 및 어업(01~03)",1337,1273,1279,1340,1395,1445,1458,1526,1513,1485,1378
"계","* 광공업(B,C)",4618,4603,4589,4529,4444,4389,4380,4512,4468,4463,4391
"계","B 광업(05~08)",14,19,23,19,15,13,12,9,8,8,9
"계","C 제조업(10~34)",4604,4584,4566,4510,4429,4376,4368,4503,4461,4455,4382
"계","* 사회간접자본 및 기타서비스업(D~U)",20222,20534,20857,20953,21284,21071,21435,22051,22435,22628,23000
"계","D 전기, 가스, 증기 및 공기조절 공급업(35)",79,76,72,70,68,74,71,80,89,92,97
"계","E 수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",106,113,115,127,135,153,169,154,147,142,148
"계","F 건설업(41~42)",1854,1869,1988,2034,2020,2016,2090,2123,2114,2065,1940
"계","* 도소매·숙박음식점업(G,I)",6011,6045,6083,5965,5966,5647,5451,5495,5572,5536,5532
"계","* 사업·개인·공공서비스 및 기타(E,L~U)",9304,9556,9757,9835,10172,10261,10577,10989,11229,11358,11764
"계","* 전기·운수·통신·금융(D,H,J,K)",3053,3064,3030,3118,3127,3147,3317,3444,3521,3669,3764
"계","G 도매 및 소매업(45~47)",3816,3754,3795,3723,3663,3503,3353,3313,3276,3215,3213
"계","H 운수 및 창고업(49~52)",1429,1426,1405,1407,1431,1482,1586,1655,1644,1701,1717
"계","I 숙박 및 음식점업(55~56)",2195,2291,2288,2243,2303,2144,2098,2182,2296,2322,2319
"계","J 정보통신업(58~63)",774,784,783,837,861,847,901,981,1037,1109,1139
"계","K 금융 및 보험업(64~66)",773,779,771,804,767,744,759,728,751,767,811
"계","L 부동산업(68)",462,483,540,528,556,517,531,552,534,520,528
"계","M 전문, 과학 및 기술 서비스업(70~73)",1055,1101,1092,1096,1157,1164,1219,1288,1357,1422,1476
"계","N 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1331,1391,1374,1311,1312,1347,1397,1423,1431,1379,1374
"계","O 공공행정, 국방 및 사회보장 행정(84)",975,1028,1081,1145,1109,1146,1184,1259,1270,1308,1329
"계","P 교육 서비스업(85)",1835,1862,1907,1847,1883,1798,1840,1902,1896,1900,1944
"계","Q 보건업 및 사회복지 서비스업(86~87)",1781,1861,1921,2046,2206,2336,2534,2714,2858,2941,3177
"계","R 예술, 스포츠 및 여가관련 서비스업(90~91)",428,407,428,445,495,496,467,482,512,522,553
"계","S 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",1232,1224,1222,1236,1233,1189,1135,1119,1130,1131,1145
"계","T 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)",82,70,64,48,75,98,87,80,77,79,78
"계","U 국제 및 외국기관(99)",19,16,12,7,12,17,15,16,17,15,13
"서울특별시","계",5165,5146,5152,5080,5086,5051,5055,5113,5174,5228,5198
"서울특별시","A 농업, 임업 및 어업(01~03)",5,7,10,7,8,7,5,6,4,4,0
"서울특별시","* 광공업(B,C)",510,484,453,450,449,447,442,450,473,466,392
"서울특별시","C 제조업(10~34)",508,484,453,450,449,447,442,450,473,466,391
"서울특별시","* 사회간접자본 및 기타서비스업(D~U)",4650,4656,4690,4624,4630,4597,4609,4658,4696,4759,4806
"서울특별시","F 건설업(41~42)",330,344,366,353,347,333,334,330,333,325,299
"서울특별시","* 도소매·숙박음식점업(G,I)",1436,1368,1350,1319,1277,1198,1158,1181,1194,1185,1171
"서울특별시","* 사업·개인·공공서비스 및 기타(E,L~U)",2079,2144,2202,2171,2217,2243,2207,2224,2210,2224,2305
"서울특별시","* 전기·운수·통신·금융(D,H,J,K)",805,800,772,781,790,823,910,923,960,1025,1031
"부산광역시","계",1684,1686,1685,1657,1676,1640,1657,1679,1691,1688,1698
"부산광역시","A 농업, 임업 및 어업(01~03)",6,11,13,10,7,7,11,19,22,19,12
"부산광역시","* 광공업(B,C)",311,301,297,287,284,255,240,225,221,232,248
"부산광역시","C 제조업(10~34)",311,301,297,286,284,255,240,225,221,232,248
"부산광역시","* 사회간접자본 및 기타서비스업(D~U)",1367,1373,1375,1360,1385,1378,1407,1435,1449,1437,1439
"부산광역시","F 건설업(41~42)",126,125,147,139,142,140,138,166,156,131,119
"부산광역시","* 도소매·숙박음식점업(G,I)",427,428,423,389,391,411,417,407,404,377,361
"부산광역시","* 사업·개인·공공서비스 및 기타(E,L~U)",576,600,601,629,642,630,646,638,659,699,736
"부산광역시","* 전기·운수·통신·금융(D,H,J,K)",237,220,203,203,210,197,207,224,229,229,223
"대구광역시","계",1246,1247,1239,1226,1219,1184,1217,1228,1247,1215,1214
"대구광역시","A 농업, 임업 및 어업(01~03)",21,21,19,30,33,31,15,10,11,12,12
"대구광역시","* 광공업(B,C)",243,252,262,254,250,231,239,240,242,236,227
"대구광역시","C 제조업(10~34)",243,251,261,253,249,231,239,240,242,236,227
"대구광역시","* 사회간접자본 및 기타서비스업(D~U)",982,974,957,942,936,923,963,978,994,968,975
"대구광역시","F 건설업(41~42)",90,94,97,97,99,96,89,88,96,96,89
"대구광역시","* 도소매·숙박음식점업(G,I)",312,310,293,283,270,258,248,254,248,224,225
"대구광역시","* 사업·개인·공공서비스 및 기타(E,L~U)",451,445,441,445,457,457,508,508,517,513,525
"대구광역시","* 전기·운수·통신·금융(D,H,J,K)",130,125,127,118,111,112,118,128,133,134,135
"인천광역시","계",1488,1520,1533,1575,1581,1560,1563,1614,1655,1696,1715
"인천광역시","A 농업, 임업 및 어업(01~03)",20,6,4,6,15,14,9,2,2,3,8
"인천광역시","* 광공업(B,C)",340,348,359,353,328,325,313,323,315,315,321
"인천광역시","C 제조업(10~34)",340,348,358,353,328,324,312,322,315,315,321
"인천광역시","* 사회간접자본 및 기타서비스업(D~U)",1128,1166,1170,1216,1238,1221,1241,1289,1338,1379,1387
"인천광역시","F 건설업(41~42)",100,133,130,135,120,119,130,135,141,141,125
"인천광역시","* 도소매·숙박음식점업(G,I)",344,341,342,341,356,329,305,311,319,316,290
"인천광역시","* 사업·개인·공공서비스 및 기타(E,L~U)",493,493,513,553,558,561,571,595,637,663,675
"인천광역시","* 전기·운수·통신·금융(D,H,J,K)",191,200,185,188,204,212,236,248,241,259,297
"광주광역시","계",733,730,744,749,750,748,745,750,769,774,776
"광주광역시","A 농업, 임업 및 어업(01~03)",18,15,13,10,13,16,12,15,21,22,17
"광주광역시","* 광공업(B,C)",112,104,117,112,110,107,100,104,102,107,105
"광주광역시","C 제조업(10~34)",111,103,116,111,110,107,100,104,102,107,105
"광주광역시","* 사회간접자본 및 기타서비스업(D~U)",604,611,614,627,626,625,632,631,646,646,655
"광주광역시","F 건설업(41~42)",68,70,69,76,72,69,71,69,70,69,70
"광주광역시","* 도소매·숙박음식점업(G,I)",180,176,169,155,154,161,166,161,159,151,150
"광주광역시","* 사업·개인·공공서비스 및 기타(E,L~U)",278,284,300,316,328,322,320,313,328,336,344
"광주광역시","* 전기·운수·통신·금융(D,H,J,K)",77,81,76,80,73,73,76,88,89,91,91
"대전광역시","계",770,774,764,759,772,780,785,794,797,789,811
"대전광역시","A 농업, 임업 및 어업(01~03)",8,9,9,7,8,8,8,9,8,11,15
"대전광역시","* 광공업(B,C)",79,84,90,84,103,105,92,78,77,82,91
"대전광역시","C 제조업(10~34)",79,84,90,84,102,105,91,78,77,82,91
"대전광역시","* 사회간접자본 및 기타서비스업(D~U)",683,681,665,668,661,667,684,707,712,696,705
"대전광역시","F 건설업(41~42)",63,62,61,55,55,62,66,65,63,67,56
"대전광역시","* 도소매·숙박음식점업(G,I)",169,164,174,192,181,162,149,151,158,170,171
"대전광역시","* 사업·개인·공공서비스 및 기타(E,L~U)",367,367,343,335,344,357,382,403,405,370,391
"대전광역시","* 전기·운수·통신·금융(D,H,J,K)",83,88,88,85,82,85,87,87,87,89,88
"울산광역시","계",573,576,584,574,571,560,555,566,572,572,575
"울산광역시","A 농업, 임업 및 어업(01~03)",7,9,9,6,6,7,6,6,6,4,4
"울산광역시","* 광공업(B,C)",217,210,193,185,176,162,163,168,180,179,180
"울산광역시","C 제조업(10~34)",217,209,192,185,176,162,163,168,180,179,180
"울산광역시","* 사회간접자본 및 기타서비스업(D~U)",349,356,382,383,389,392,385,392,386,389,391
"울산광역시","F 건설업(41~42)",42,44,48,46,39,39,41,47,49,45,48
"울산광역시","* 도소매·숙박음식점업(G,I)",111,116,119,111,108,101,96,94,102,103,93
"울산광역시","* 사업·개인·공공서비스 및 기타(E,L~U)",155,155,171,181,190,196,197,201,190,194,201
"울산광역시","* 전기·운수·통신·금융(D,H,J,K)",41,43,44,46,51,56,51,51,45,48,50
"세종특별자치시","계",-,-,129,148,168,180,185,197,208,210,211
"세종특별자치시","A 농업, 임업 및 어업(01~03)",-,-,8,7,8,8,9,8,7,8,8
"세종특별자치시","* 광공업(B,C)",-,-,20,24,24,24,24,28,30,33,32
"세종특별자치시","C 제조업(10~34)",-,-,20,24,24,24,24,28,30,33,32
"세종특별자치시","* 사회간접자본 및 기타서비스업(D~U)",-,-,101,117,136,148,153,161,171,170,171
"세종특별자치시","F 건설업(41~42)",-,-,8,9,10,10,9,9,9,9,11
"세종특별자치시","* 도소매·숙박음식점업(G,I)",-,-,18,20,22,24,23,24,24,27,27
"세종특별자치시","* 사업·개인·공공서비스 및 기타(E,L~U)",-,-,65,76,88,98,103,109,120,117,117
"세종특별자치시","* 전기·운수·통신·금융(D,H,J,K)",-,-,11,13,15,17,17,19,18,17,16
"경기도","계",6393,6504,6685,6790,6952,6909,7150,7597,7653,7732,7788
"경기도","A 농업, 임업 및 어업(01~03)",119,118,118,112,118,107,107,131,147,160,120
"경기도","* 광공업(B,C)",1288,1295,1331,1323,1259,1283,1344,1468,1422,1364,1323
"경기도","C 제조업(10~34)",1288,1294,1330,1321,1259,1283,1344,1468,1421,1363,1323
"경기도","* 사회간접자본 및 기타서비스업(D~U)",4985,5091,5236,5356,5575,5519,5699,5999,6084,6209,6345
"경기도","F 건설업(41~42)",487,454,489,541,546,564,607,626,598,597,567
