year,period,unfilled_workers,region,business_size,industry,source_file,note
2015,2/2,90580,전국,5인이상,전산업,산업별·규모별_2009년2017년__20260621162903.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2016,2/2,95282,전국,5인이상,전산업,산업별·규모별_2009년2017년__20260621162903.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2017,2/2,85052,전국,5인이상,전산업,산업별·규모별_2009년2017년__20260621162903.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2018,2/2,83911,전국,5인이상,전산업,산업별·규모별_2018년2020년__20260621162808.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2019,2/2,75909,전국,5인이상,전산업,산업별·규모별_2018년2020년__20260621162808.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2020,2/2,67188,전국,5인이상,전산업,산업별·규모별_2018년2020년__20260621162808.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2021,2/2,111769,전국,5인이상,전산업,산업별·규모별_2021년_이후__20260621174237.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2022,2/2,153262,전국,5인이상,전산업,산업별·규모별_2021년_이후__20260621174237.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2023,2/2,114397,전국,5인이상,전산업,산업별·규모별_2021년_이후__20260621174237.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2024,2/2,102795,전국,5인이상,전산업,산업별·규모별_2021년_이후__20260621174237.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
2025,2/2,85752,전국,5인이상,전산업,산업별·규모별_2021년_이후__20260621174237.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 5인 이상 기준"
