year,resting_youth_thousand,employed_youth_20_29_thousand,unfilled_workers,business_size,resting_to_employed_pct,youth_inactivity_unfilled_multiple,business_size_basis,validity_note
2015,273,3619,90580,5인이상,7.54,3.01,5인이상,5인 이상 기준
2016,245,3664,95282,5인이상,6.69,2.57,5인이상,5인 이상 기준
2017,270,3660,85052,5인이상,7.38,3.17,5인이상,5인 이상 기준
2018,283,3699,83911,5인이상,7.65,3.37,5인이상,5인 이상 기준
2019,332,3747,75909,5인이상,8.86,4.37,5인이상,5인 이상 기준
2020,415,3601,67188,5인이상,11.52,6.18,5인이상,5인 이상 기준
2021,393,3706,111769,5인이상,10.6,3.52,5인이상,5인 이상 기준
2022,362,3818,153262,5인이상,9.48,2.36,5인이상,5인 이상 기준
2023,371,3736,114397,5인이상,9.93,3.24,5인이상,5인 이상 기준
2024,389,3612,102795,5인이상,10.77,3.78,5인이상,5인 이상 기준
2025,408,3442,85752,5인이상,11.85,4.76,5인이상,5인 이상 기준
