year,employed_youth_20_29_thousand,source,note
2015,3619,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2016,3664,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2017,3660,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2018,3699,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2019,3747,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2020,3601,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2021,3706,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2022,3818,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2023,3736,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2024,3612,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
2025,3442,KOSIS 경제활동인구조사 연령별 경제활동인구 총괄,"20~29세, 취업자, 단위 천명"
