year,period,unfilled_workers,region,business_size,industry,source_file,note
2015,2/2,90580,전국,전규모(5인이상),전산업(5인이상),산업별·규모별_2009년2017년__20260621162903.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 전규모(5인이상)"
2016,2/2,95282,전국,전규모(5인이상),전산업(5인이상),산업별·규모별_2009년2017년__20260621162903.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 전규모(5인이상)"
2017,2/2,85052,전국,전규모(5인이상),전산업(5인이상),산업별·규모별_2009년2017년__20260621162903.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 전규모(5인이상)"
2018,2/2,83911,전국,전규모(5인이상),0 전체,산업별·규모별_2018년2020년__20260621162808.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 전규모(5인이상)"
2019,2/2,75909,전국,전규모(5인이상),0 전체,산업별·규모별_2018년2020년__20260621162808.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 전규모(5인이상)"
2020,2/2,67188,전국,전규모(5인이상),0 전체,산업별·규모별_2018년2020년__20260621162808.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 전규모(5인이상)"
2021,2/2,137119,전국,전규모(1인이상),전산업,산업별·규모별_2021년_이후__20260621163403.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 주의: 업로드 파일 기준 2021년 이후는 전규모(1인이상)"
2022,2/2,192334,전국,전규모(1인이상),전산업,산업별·규모별_2021년_이후__20260621163403.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 주의: 업로드 파일 기준 2021년 이후는 전규모(1인이상)"
2023,2/2,140749,전국,전규모(1인이상),전산업,산업별·규모별_2021년_이후__20260621163403.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 주의: 업로드 파일 기준 2021년 이후는 전규모(1인이상)"
2024,2/2,123080,전국,전규모(1인이상),전산업,산업별·규모별_2021년_이후__20260621163403.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 주의: 업로드 파일 기준 2021년 이후는 전규모(1인이상)"
2025,2/2,101315,전국,전규모(1인이상),전산업,산업별·규모별_2021년_이후__20260621163403.csv,"하반기(2/2) 기준, 미충원인원 단위 명 / 주의: 업로드 파일 기준 2021년 이후는 전규모(1인이상)"
