year,month,yyyymm,insured_20_29,source_file
2015,1,201501,2099455,월별_피보험자현황_1781933975690.xls
2015,2,201502,2102451,월별_피보험자현황_1781933975690.xls
2015,3,201503,2099917,월별_피보험자현황_1781933975690.xls
2015,4,201504,2120703,월별_피보험자현황_1781933975690.xls
2015,5,201505,2136102,월별_피보험자현황_1781933975690.xls
2015,6,201506,2141808,월별_피보험자현황_1781933975690.xls
2015,7,201507,2153024,월별_피보험자현황_1781933975690.xls
2015,8,201508,2154133,월별_피보험자현황_1781933975690.xls
2015,9,201509,2149002,월별_피보험자현황_1781933975690.xls
2015,10,201510,2144042,월별_피보험자현황_1781933975690.xls
2015,11,201511,2145847,월별_피보험자현황_1781933975690.xls
2015,12,201512,2149763,월별_피보험자현황_1781933975690.xls
2016,1,201601,2150371,월별_피보험자현황_1781933960102.xls
2016,2,201602,2146063,월별_피보험자현황_1781933960102.xls
2016,3,201603,2143302,월별_피보험자현황_1781933960102.xls
2016,4,201604,2161849,월별_피보험자현황_1781933960102.xls
2016,5,201605,2170194,월별_피보험자현황_1781933960102.xls
2016,6,201606,2175615,월별_피보험자현황_1781933960102.xls
2016,7,201607,2194077,월별_피보험자현황_1781933960102.xls
2016,8,201608,2196209,월별_피보험자현황_1781933960102.xls
2016,9,201609,2182389,월별_피보험자현황_1781933960102.xls
2016,10,201610,2180668,월별_피보험자현황_1781933960102.xls
2016,11,201611,2183658,월별_피보험자현황_1781933960102.xls
2016,12,201612,2184062,월별_피보험자현황_1781933960102.xls
2017,1,201701,2181214,월별_피보험자현황_1781933960102.xls
2017,2,201702,2182714,월별_피보험자현황_1781933960102.xls
2017,3,201703,2188855,월별_피보험자현황_1781933960102.xls
2017,4,201704,2210122,월별_피보험자현황_1781933960102.xls
2017,5,201705,2209547,월별_피보험자현황_1781933960102.xls
2017,6,201706,2211967,월별_피보험자현황_1781933960102.xls
2017,7,201707,2229149,월별_피보험자현황_1781933960102.xls
2017,8,201708,2224788,월별_피보험자현황_1781933960102.xls
