직무_추정,순위,기술,빈도
백엔드 개발자,1,Java,1298
백엔드 개발자,2,AWS,1225
백엔드 개발자,3,Python,1119
백엔드 개발자,4,SQL,920
백엔드 개발자,5,Kubernetes,899
백엔드 개발자,6,Docker,825
백엔드 개발자,7,Go,768
백엔드 개발자,8,Scala,577
백엔드 개발자,9,Agile,560
백엔드 개발자,10,Node.js,547
프론트엔드 개발자,1,JavaScript,575
프론트엔드 개발자,2,Teamwork,489
프론트엔드 개발자,3,React,480
프론트엔드 개발자,4,Communication,462
프론트엔드 개발자,5,Merchandising,453
프론트엔드 개발자,6,Training,434
프론트엔드 개발자,7,Customer service,428
프론트엔드 개발자,8,CSS,418
프론트엔드 개발자,9,Onboarding,388
프론트엔드 개발자,10,Operations,384
풀스택 개발자,1,JavaScript,1346
풀스택 개발자,2,Java,1186
풀스택 개발자,3,AWS,1124
풀스택 개발자,4,SQL,1063
풀스택 개발자,5,Python,1018
풀스택 개발자,6,TypeScript,949
풀스택 개발자,7,Docker,945
풀스택 개발자,8,Kubernetes,914
풀스택 개발자,9,React,688
풀스택 개발자,10,Go,687
데이터 사이언티스트,1,Python,824
데이터 사이언티스트,2,Data Science,604
데이터 사이언티스트,3,SQL,598
데이터 사이언티스트,4,Machine Learning,548
데이터 사이언티스트,5,R,479
데이터 사이언티스트,6,Statistics,372
데이터 사이언티스트,7,Data Visualization,280
데이터 사이언티스트,8,Communication,265
데이터 사이언티스트,9,Tableau,226
데이터 사이언티스트,10,Spark,219
데이터 엔지니어,1,Python,1302
데이터 엔지니어,2,SQL,1119
데이터 엔지니어,3,Spark,726
데이터 엔지니어,4,Data Engineering,719
데이터 엔지니어,5,Java,669
데이터 엔지니어,6,AWS,647
데이터 엔지니어,7,Scala,638
데이터 엔지니어,8,Snowflake,621
데이터 엔지니어,9,Hadoop,564
데이터 엔지니어,10,Kafka,538
AI/ML 엔지니어,1,Python,800
AI/ML 엔지니어,2,Machine Learning,679
AI/ML 엔지니어,3,PyTorch,446
AI/ML 엔지니어,4,TensorFlow,374
AI/ML 엔지니어,5,AWS,313
AI/ML 엔지니어,6,Java,306
AI/ML 엔지니어,7,Deep Learning,247
AI/ML 엔지니어,8,Azure,244
AI/ML 엔지니어,9,Communication,201
AI/ML 엔지니어,10,Scala,193
DevOps/인프라 엔지니어,1,Python,1134
DevOps/인프라 엔지니어,2,Kubernetes,953
DevOps/인프라 엔지니어,3,Terraform,922
DevOps/인프라 엔지니어,4,DevOps,915
DevOps/인프라 엔지니어,5,AWS,882
DevOps/인프라 엔지니어,6,Docker,747
DevOps/인프라 엔지니어,7,Ansible,631
DevOps/인프라 엔지니어,8,Jenkins,545
DevOps/인프라 엔지니어,9,Java,539
DevOps/인프라 엔지니어,10,Linux,536
모바일 개발자,1,Kotlin,385
모바일 개발자,2,Android,259
모바일 개발자,3,Swift,240
모바일 개발자,4,Java,240
모바일 개발자,5,Agile,174
모바일 개발자,6,iOS,172
모바일 개발자,7,MVVM,157
모바일 개발자,8,Communication,156
모바일 개발자,9,Git,153
모바일 개발자,10,Software Engineering,108
QA/테스트 개발자,1,Quality Assurance,1390
QA/테스트 개발자,2,Communication,913
QA/테스트 개발자,3,Leadership,526
QA/테스트 개발자,4,Teamwork,515
QA/테스트 개발자,5,Python,482
QA/테스트 개발자,6,Problem Solving,471
QA/테스트 개발자,7,Data Analysis,450
QA/테스트 개발자,8,Engineering,369
QA/테스트 개발자,9,Troubleshooting,364
QA/테스트 개발자,10,Project Management,344
보안 전문가,1,Cybersecurity,801
보안 전문가,2,Information Security,550
보안 전문가,3,CISSP,409
보안 전문가,4,Incident Response,341
보안 전문가,5,AWS,329
보안 전문가,6,Penetration Testing,315
보안 전문가,7,Vulnerability Management,295
보안 전문가,8,Risk Management,282
보안 전문가,9,Network Security,263
보안 전문가,10,Communication,260
