프로젝트_직무군,O*NET_대응직업,소프트웨어_항목수,Hot_Technology_수,In_Demand_수,Hot_예시_상위10,In_Demand_예시_상위10,활용방식
백엔드/풀스택 개발자,Software Developers,430,152,30,Adobe Acrobat; Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; AJAX; Alteryx software; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2,Amazon Web Services AWS software; Apache Kafka; Atlassian JIRA; C; C#; C++; Cascading style sheets CSS; Docker; Git; GitHub,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
프론트엔드/웹 개발자,Web Developers; Web and Digital Interface Designers,487,237,49,Adobe Acrobat; Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; AJAX; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift,Amazon Web Services AWS software; Apache Kafka; Atlassian JIRA; C#; Cascading style sheets CSS; Docker; Git; GitHub; Go; Google Angular,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
데이터 사이언티스트,Data Scientists,87,55,21,Alteryx software; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS software; Apache Airflow; Apache Cassandra; Apache Hadoop; Apache Hive; Apache Kafka; Apache Spark,Amazon Web Services AWS software; Apache Hadoop; Apache Spark; C++; Git; Microsoft Azure software; Microsoft Excel; Microsoft Power BI; Microsoft PowerPoint; NumPy,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
데이터 엔지니어,Database Architects; Data Warehousing Specialists,481,176,23,Adobe Acrobat; AJAX; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software; Ansible software; Apache Airflow; Apache Cassandra,Amazon Web Services AWS software; Apache Kafka; Apache Spark; Microsoft Azure software; Microsoft Excel; Microsoft Office software; Microsoft Power BI; Microsoft PowerPoint; Oracle Java; Python,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
AI/ML 엔지니어,Data Scientists; Software Developers,517,207,51,Adobe Acrobat; Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; AJAX; Alteryx software; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2,Amazon Web Services AWS software; Apache Kafka; Atlassian JIRA; C; C#; C++; Cascading style sheets CSS; Docker; Git; GitHub,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
DevOps/시스템 인프라,Network and Computer Systems Administrators; Computer Systems Engineers/Architects,528,227,40,Adobe Acrobat; AJAX; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software; Ansible software; Apache Cassandra; Apache Hadoop,Amazon Web Services AWS software; Ansible software; Bash; Firewall software; Linux; Microsoft Active Directory; Microsoft Azure software; Microsoft Excel; Microsoft Office software; Microsoft Outlook,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
QA/테스트 개발자,Software Quality Assurance Analysts and Testers,429,126,24,Adobe Acrobat; Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; AJAX; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift,Amazon Web Services AWS software; Apache JMeter; Appium; Atlassian JIRA; C#; C++; Git; GitHub; JavaScript; Jenkins CI,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
보안 전문가,Information Security Analysts; Information Security Engineers,335,151,27,AJAX; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software; Ansible software; Apache Cassandra; Apache Hadoop; Apache Hive,Amazon Web Services AWS software; eMASS; Firewall software; Linux; Microsoft Azure software; Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Microsoft PowerShell; MITRE ATT&CK software,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
DB 관리자/아키텍트,Database Administrators; Database Architects,610,224,51,AJAX; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software; Ansible software; Apache Airflow; Apache Cassandra; Apache Hadoop,Amazon Redshift; Amazon Web Services AWS software; Apache Airflow; Apache Hadoop; Apache Kafka; Apache Spark; Atlassian JIRA; Git; GitHub; IBM Terraform,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
시스템 분석가,Computer Systems Analysts,311,119,10,Adobe Acrobat; Adobe Illustrator; Adobe Photoshop; AJAX; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software; Ansible software,Atlassian JIRA; Microsoft Excel; Microsoft Office software; Microsoft Power BI; Microsoft PowerPoint; Microsoft SharePoint; Python; SAP software; ServiceNow; Structured query language SQL,Stack Overflow 주요 기술이 실제 직업별 요구 기술과도 연결되는지 확인하는 참고자료
