프로젝트_직무군,O*NET_직업명,기술_예시,기술_분류,Hot_Technology,In_Demand
백엔드/풀스택 개발자,Software Developers,3M Post-it App,Word processing software,N,N
백엔드/풀스택 개발자,Software Developers,A programming language APL,Development environment software,N,N
백엔드/풀스택 개발자,Software Developers,ABC Compiler,Development environment software,N,N
백엔드/풀스택 개발자,Software Developers,ABC: the AspectBench Compiler for AspectJ,Object or component oriented development software,N,N
백엔드/풀스택 개발자,Software Developers,Ada,Development environment software,N,N
백엔드/풀스택 개발자,Software Developers,ADO.NET,Data base user interface and query software,N,N
백엔드/풀스택 개발자,Software Developers,Adobe Acrobat,Document management software,Y,N
백엔드/풀스택 개발자,Software Developers,Adobe ActionScript,Development environment software,N,N
백엔드/풀스택 개발자,Software Developers,Adobe After Effects,Video creation and editing software,Y,N
백엔드/풀스택 개발자,Software Developers,Adobe Creative Cloud software,Graphics or photo imaging software,Y,N
백엔드/풀스택 개발자,Software Developers,Adobe Dreamweaver,Web page creation and editing software,N,N
백엔드/풀스택 개발자,Software Developers,Adobe Flex,Web platform development software,N,N
백엔드/풀스택 개발자,Software Developers,Adobe Illustrator,Graphics or photo imaging software,Y,N
백엔드/풀스택 개발자,Software Developers,Adobe InDesign,Desktop publishing software,Y,N
백엔드/풀스택 개발자,Software Developers,Adobe Photoshop,Graphics or photo imaging software,Y,N
백엔드/풀스택 개발자,Software Developers,Advanced business application programming ABAP,Object or component oriented development software,N,N
백엔드/풀스택 개발자,Software Developers,Airtable,Data base user interface and query software,N,N
백엔드/풀스택 개발자,Software Developers,AJAX,Web platform development software,Y,N
백엔드/풀스택 개발자,Software Developers,Algorithmic language ALGOL,Development environment software,N,N
백엔드/풀스택 개발자,Software Developers,Allaire ColdFusion,Web platform development software,N,N
백엔드/풀스택 개발자,Software Developers,Alteryx software,Business intelligence and data analysis software,Y,N
백엔드/풀스택 개발자,Software Developers,Amazon DynamoDB,Data base management system software,Y,N
백엔드/풀스택 개발자,Software Developers,Amazon Elastic Compute Cloud EC2,Data base user interface and query software,Y,N
백엔드/풀스택 개발자,Software Developers,Amazon Kinesis,Data base management system software,N,N
백엔드/풀스택 개발자,Software Developers,Amazon Redshift,Data base user interface and query software,Y,N
백엔드/풀스택 개발자,Software Developers,Amazon Simple Storage Service S3,Storage networking software,N,N
백엔드/풀스택 개발자,Software Developers,Amazon Web Services AWS CloudFormation,Cloud-based management software,Y,N
백엔드/풀스택 개발자,Software Developers,Amazon Web Services AWS software,Data base user interface and query software,Y,Y
