year,labor_force_participation_rate,employment_rate,inactive_thousand,unemployment_rate,unemployed_thousand,employed_thousand
2015,45.3,41.2,5127.0,9.1,389.0,3864.0
2016,46.3,41.7,5029.0,9.8,426.0,3908.0
2017,46.7,42.1,4949.0,9.8,426.0,3907.0
2018,47.1,42.7,4837.0,9.5,408.0,3904.0
2019,47.8,43.5,4729.0,8.9,386.0,3945.0
2020,46.4,42.2,4778.0,9.0,370.0,3763.0
2021,47.9,44.2,4567.0,7.8,326.0,3877.0
2022,49.8,46.6,4299.0,6.4,272.0,3996.0
2023,49.4,46.5,4248.0,5.9,243.0,3899.0
2024,48.9,46.1,4162.0,5.9,235.0,3755.0
2025,47.9,45.0,4145.0,6.1,231.0,3578.0
