year,industry,first_job_industry_thousand,year_total_thousand,share_percent
2015,농림어업,33.3,3698.2,0.9004380509437023
2015,광·제조업,702.3,3698.2,18.99031961494781
2015,건설업,117.5,3698.2,3.1772213509274785
2015,도매 및 소매업,662.9,3698.2,17.924936455572983
2015,숙박 및 음식점업,503.1,3698.2,13.603915418311614
2015,전문·과학 및 기술 서비스업,231.1,3698.2,6.248985993185874
2015,공공행정·국방·사회보장 행정,79.8,3698.2,2.157806500459683
2015,교육 서비스업,415.5,3698.2,11.235195500513765
2015,보건업·사회복지 서비스업,445.1,3698.2,12.035584879130388
2015,기타,507.6,3698.2,13.725596236006707
2016,농림어업,31.2,3787.3,0.8238058775380876
2016,광·제조업,719.2,3787.3,18.989781638634383
2016,건설업,120.5,3787.3,3.1816861616454992
2016,도매 및 소매업,678.8,3787.3,17.923058643360704
2016,숙박 및 음식점업,495.0,3787.3,13.069997095556202
2016,운수 및 창고업,,3787.3,
2016,정보통신업,,3787.3,
2016,전문·과학 및 기술 서비스업,266.1,3787.3,7.026113590156576
2016,공공행정·국방·사회보장 행정,91.2,3787.3,2.408047949726718
2016,교육 서비스업,407.9,3787.3,10.770205687429039
2016,보건업·사회복지 서비스업,449.4,3787.3,11.865973120692841
2016,기타,528.0,3787.3,13.941330235259947
2017,농림어업,30.4,3823.1,0.7951662263608066
2017,광·제조업,747.3,3823.1,19.546964505244436
2017,건설업,130.8,3823.1,3.4213073160524186
2017,도매 및 소매업,653.4,3823.1,17.09084251000497
2017,숙박 및 음식점업,519.0,3823.1,13.575370772409826
2017,운수 및 창고업,,3823.1,
2017,정보통신업,,3823.1,
2017,전문·과학 및 기술 서비스업,239.2,3823.1,6.256702675838979
2017,공공행정·국방·사회보장 행정,95.4,3823.1,2.4953571708822686
2017,교육 서비스업,381.8,3823.1,9.986660040281448
2017,보건업·사회복지 서비스업,475.4,3823.1,12.43493500039235
2017,기타,550.4,3823.1,14.396693782532498
2018,농림어업,28.7,3867.6000000000004,0.7420622608335918
2018,광·제조업,725.2,3867.6000000000004,18.75064639569759
2018,건설업,146.3,3867.6000000000004,3.782707622298066
2018,도매 및 소매업,673.6,3867.6000000000004,17.41648567587134
2018,숙박 및 음식점업,541.2,3867.6000000000004,13.993174061433447
2018,운수 및 창고업,,3867.6000000000004,
2018,정보통신업,,3867.6000000000004,
2018,전문·과학 및 기술 서비스업,255.0,3867.6000000000004,6.5932361154204155
2018,공공행정·국방·사회보장 행정,128.3,3867.6000000000004,3.3173027200330956
2018,교육 서비스업,336.5,3867.6000000000004,8.700486089564587
2018,보건업·사회복지 서비스업,458.1,3867.6000000000004,11.8445547626435
2018,기타,574.7,3867.6000000000004,14.859344296204362
2019,농림어업,45.3,3920.7,1.1554059224118143
2019,광·제조업,659.2,3920.7,16.813324151299515
2019,건설업,146.6,3920.7,3.7391282169000437
2019,도매 및 소매업,633.2,3920.7,16.150177264264038
2019,숙박 및 음식점업,592.5,3920.7,15.1120973295585
2019,운수 및 창고업,,3920.7,
2019,정보통신업,,3920.7,
2019,전문·과학 및 기술 서비스업,284.0,3920.7,7.243604458387533
2019,공공행정·국방·사회보장 행정,129.6,3920.7,3.3055321753768463
2019,교육 서비스업,362.1,3920.7,9.235595684444105
2019,보건업·사회복지 서비스업,447.4,3920.7,11.4112275869105
2019,기타,620.8,3920.7,15.833907210447112
2020,농림어업,32.4,3829.0,0.8461739357534603
2020,광·제조업,617.0,3829.0,16.113867850613737
2020,건설업,154.4,3829.0,4.032384434578219
2020,도매 및 소매업,643.3,3829.0,16.80073126142596
2020,숙박 및 음식점업,598.1,3829.0,15.620266388090887
2020,운수 및 창고업,,3829.0,
2020,정보통신업,,3829.0,
2020,전문·과학 및 기술 서비스업,279.5,3829.0,7.2995560198485245
2020,공공행정·국방·사회보장 행정,100.6,3829.0,2.6273178375554975
2020,교육 서비스업,379.8,3829.0,9.919038913554454
2020,보건업·사회복지 서비스업,453.5,3829.0,11.84382345259859
2020,기타,570.4,3829.0,14.896839905980674
2021,농림어업,20.0,3814.6000000000004,0.5243013684265716
