year,wage_workers_thousand,regular_thousand,nonregular_thousand,regular_ratio,nonregular_ratio
2015,3670.0,2382.0,1288.0,64.90463215258856,35.095367847411445
2016,3717.0,2408.0,1309.0,64.7834274952919,35.2165725047081
2017,3742.0,2405.0,1336.0,64.27044361304115,35.70283270978087
2018,3682.0,2406.0,1275.0,65.34492123845736,34.6279196089082
2019,3749.0,2236.0,1513.0,59.642571352360626,40.357428647639374
2020,3563.0,2141.0,1421.0,60.08981195621668,39.88212180746562
2021,3711.0,2150.0,1562.0,57.93586634330369,42.09108057127459
2022,3797.0,2224.0,1573.0,58.572557282064786,41.427442717935214
2023,3701.0,2124.0,1577.0,57.389894623074845,42.610105376925155
2024,3548.0,1945.0,1604.0,54.819616685456594,45.20856820744081
2025,3389.0,1844.0,1545.0,54.41133077604013,45.58866922395987
